| 3| 8| 5| 1|15| 4|16| 9|14|11|12|13| 6| 2| 7|10|
|16|14|15|12| 7| 8| 1| 3| 4| 6| 2|10| 9|11| 5|13|
| 4|13| 7| 9| 2| 6|10|11| 8| 5| 1|16|14| 3|15|12|
|11| 2| 6|10|12|14|13| 5| 7| 9|15| 3| 4| 8|16| 1|
|14| 4| 2| 5| 8| 9| 6|12|15|16|13| 1| 3| 7|10|11|
|15| 9|16| 8| 4|11| 2|14|10| 3| 7|12|13| 6| 1| 5|
|13| 7|10| 6|16| 3| 5| 1| 2| 4| 8|11|12|15|14| 9|
|12| 3| 1|11|13| 7|15|10| 9|14| 6| 5| 8| 4| 2|16|
| 2| 6| 4|16| 9| 1|14| 8|12| 7| 5|15|11|10|13| 3|
| 9| 5|14| 3| 6| 2| 4|16|13|10|11| 8| 7| 1|12|15|
| 8| 1|12|15|10|13|11| 7| 3| 2|16| 4| 5| 9| 6|14|
| 7|10|11|13| 3| 5|12|15| 6| 1|14| 9| 2|16| 4| 8|
| 6|16| 8| 4| 5|15| 9| 2| 1|12| 3|14|10|13|11| 7|
| 5|15| 9| 2|14|16| 8| 4|11|13|10| 7| 1|12| 3| 6|
| 1|12| 3|14|11|10| 7|13|16| 8| 4| 6|15| 5| 9| 2|
|10|11|13| 7| 1|12| 3| 6| 5|15| 9| 2|16|14| 8| 4|
