| 4| 8|12| 5|13| 2| 6| 3|16|10| 7| 9|15|11|14| 1|
|14| 2| 7|15| 5|11| 1| 4| 8| 3|13|12|10|16| 6| 9|
| 3|11| 9|13| 7|16|10|15|14| 4| 6| 1| 5|12| 8| 2|
|10| 6|16| 1|12| 9|14| 8| 5|11|15| 2| 3| 4| 7|13|
| 5|13|10| 4| 6|14|11| 9|12| 2| 3| 7|16| 1|15| 8|
| 7|12|15|14|16| 5| 3| 2| 9| 6| 1| 8| 4|10|13|11|
| 1|16| 6| 8| 4|12| 7|13|15| 5|10|11|14| 2| 9| 3|
|11| 3| 2| 9|15|10| 8| 1| 4|13|16|14| 7| 6| 5|12|
|12| 5|14| 6| 3| 4|16| 7|11| 1| 2|13| 8| 9|10|15|
|16| 4|13| 7| 1| 6| 5|12|10| 9| 8|15|11| 3| 2|14|
|15|10| 3|11| 9| 8| 2|14| 6| 7|12| 5| 1|13|16| 4|
| 9| 1| 8| 2|10|15|13|11| 3|16|14| 4| 6| 7|12| 5|
| 6| 7| 5|12|14|13| 4|16| 2|15|11| 3| 9| 8| 1|10|
|13|14| 4|16|11| 7|12| 5| 1| 8| 9|10| 2|15| 3| 6|
| 2|15|11| 3| 8| 1| 9|10| 7|12| 5| 6|13|14| 4|16|
| 8| 9| 1|10| 2| 3|15| 6|13|14| 4|16|12| 5|11| 7|
