|15| 2|11| 9| 8|10|16|12| 7| 1|14| 5| 3| 4| 6|13|
|16| 8|10| 3|14| 4|11| 5|15| 2| 6|13| 7| 1|12| 9|
| 7| 1|14|13| 3| 9| 2| 6| 8|10| 4|12|11|16|15| 5|
| 4| 6| 5|12| 7| 1|15|13|16|11| 9| 3|10| 8|14| 2|
|14| 4| 9| 7|15|11|12| 2| 1|16|13|10| 8| 3| 5| 6|
| 8|10|15| 1| 6| 7|14| 9| 3| 4| 5| 2|16|11|13|12|
|11|16| 2| 5| 1| 8|13| 3|14| 7|12| 6| 4|10| 9|15|
|13| 3|12| 6|16| 5| 4|10|11| 8|15| 9| 1| 7| 2|14|
|10| 7| 8|15| 4|16| 9| 1| 6|12| 2|14| 5|13|11| 3|
| 1| 9|16|14|13| 2| 8| 7| 5| 3|11|15| 6|12| 4|10|
|12|11| 6| 2|10| 3| 5|14| 4|13| 8| 7|15| 9|16| 1|
| 3| 5|13| 4|11|12| 6|15|10| 9|16| 1|14| 2| 8| 7|
| 2|14| 7| 8| 9|15| 1|16|12| 6|10| 4|13| 5| 3|11|
| 9|15| 1|16| 2|14| 7| 8|13| 5| 3|11|12| 6|10| 4|
| 6|12| 4|10| 5|13| 3|11| 2|14| 7| 8| 9|15| 1|16|
| 5|13| 3|11|12| 6|10| 4| 9|15| 1|16| 2|14| 7| 8|
