|12|10|13|15| 1| 3|11| 2|14| 6| 5| 8| 9|16| 7| 4|
| 3| 1|14| 8|12| 5| 6|13| 9|16| 4| 7|15|10|11| 2|
| 9|16| 6|11|15|14| 4| 7| 2|10|13|12| 3| 5| 1| 8|
| 2| 7| 5| 4| 9| 8|10|16|15| 3| 1|11|14|13| 6|12|
|14|12| 3|16| 6| 9|13|10| 1| 5| 7| 4| 2|11| 8|15|
|15| 9| 1| 5| 3|16|12|11|10| 8| 6| 2|13| 7| 4|14|
|10| 4| 2| 7|14| 1|15| 8| 3|11|16|13|12| 9| 5| 6|
|11| 6| 8|13| 5| 2| 7| 4|12| 9|14|15| 1| 3|16|10|
| 1| 3|11|10|16|13|14| 9| 6|15| 2| 5| 4| 8|12| 7|
| 5|13| 9|12|10| 6| 3| 1| 4| 7| 8|14|11|15| 2|16|
| 4|15|16|14| 8| 7| 2|12|11| 1| 3|10| 5| 6| 9|13|
| 6| 8| 7| 2| 4|11| 5|15|16|13|12| 9|10| 1|14| 3|
|16| 5|10| 1|13|12| 9|14| 7| 2|15| 6| 8| 4| 3|11|
|13|14|12| 9| 7|10| 1| 3| 8| 4|11|16| 6| 2|15| 5|
| 7| 2|15| 3|11| 4| 8| 6| 5|14|10| 1|16|12|13| 9|
| 8|11| 4| 6| 2|15|16| 5|13|12| 9| 3| 7|14|10| 1|
