| 7|14| 9|11| 6| 1| 4| 8|16|15|13|10|12| 3| 2| 5|
|16| 2| 8| 5| 9|13|12|14| 3|11| 6| 7|15| 1|10| 4|
|10| 3|12|13|16|15|11| 2| 1| 9| 4| 5| 7| 8|14| 6|
|15| 1| 6| 4| 3| 5|10| 7|14|12| 2| 8|16| 9|11|13|
| 3|12| 1| 8|11|16| 9| 5|15|14|10| 6| 4| 2|13| 7|
| 4|16|11|10|14| 7|13|12| 9| 8| 3| 2| 6| 5| 1|15|
| 9| 5|13| 7|15| 3| 2| 6|11|16| 1| 4|10|12| 8|14|
|14|15| 2| 6| 1| 4| 8|10|12| 5| 7|13| 3|16| 9|11|
|11| 9|16| 3|12|10| 6| 1| 4| 2|14|15| 5|13| 7| 8|
| 6|10|14|12| 5| 9|16| 3|13| 7| 8|11| 2|15| 4| 1|
| 2| 8| 4|15|13|14| 7|11| 5| 1|16| 3| 9| 6|12|10|
| 5|13| 7| 1| 8| 2|15| 4|10| 6| 9|12|11|14|16| 3|
|12|11| 3|16|10| 6|14| 9| 8| 4|15| 1|13| 7| 5| 2|
| 1| 6|10| 9| 2|11| 3|16| 7|13| 5|14| 8| 4|15|12|
| 8| 4|15|14| 7|12| 5|13| 2| 3|11|16| 1|10| 6| 9|
|13| 7| 5| 2| 4| 8| 1|15| 6|10|12| 9|14|11| 3|16|
