| 5|16|15|14| 6|12| 1|11| 4| 8| 3| 9| 2|10|13| 7|
| 6| 3| 8| 2| 4|13|15| 9|12| 5|10| 7| 1|11|16|14|
| 4|11|13| 1|10| 3|16| 7| 2|15| 6|14| 5| 8|12| 9|
|10|12| 9| 7| 5|14| 2| 8|16|11|13| 1| 4| 3| 6|15|
|16| 4| 6|15|14| 5| 9| 3| 8|10|12|13|11| 7| 2| 1|
| 1| 5| 7| 8|12| 4| 6| 2|11|16|15| 3| 9|14|10|13|
| 2|10|14| 9|11|16| 7|13| 5| 4| 1| 6| 8|12|15| 3|
|11|13|12| 3| 8|15|10| 1| 9|14| 7| 2|16| 5| 4| 6|
|12|15| 4| 6| 1| 8| 3| 5|10|13| 9|11|14|16| 7| 2|
| 8| 1| 3| 5|16| 7| 4| 6|14|12| 2|15|10|13| 9|11|
| 9| 7|16|11| 2|10|13|14| 6| 3| 4| 5|12|15| 1| 8|
|14| 2|10|13| 9|11|12|15| 1| 7|16| 8| 6| 4| 3| 5|
| 3| 6| 5| 4|15| 1| 8|16|13| 9|11|12| 7| 2|14|10|
|15| 8| 1|16| 3| 6| 5| 4| 7| 2|14|10|13| 9|11|12|
|13| 9|11|12| 7| 2|14|10| 3| 6| 5| 4|15| 1| 8|16|
| 7|14| 2|10|13| 9|11|12|15| 1| 8|16| 3| 6| 5| 4|
