|12| 6|16| 4|14| 2|13|15| 5| 9| 8|10| 3| 7|11| 1|
|11| 3| 7|10| 5| 8|16| 9| 1|12|13| 4|14| 6|15| 2|
| 1| 9| 2| 8| 3| 6| 4|11| 7|14|15|16| 5|10|12|13|
|14| 5|13|15| 7|12|10| 1|11| 3| 2| 6| 9| 8|16| 4|
|16| 7|11| 1|12|14| 8|13| 3| 5|10| 2| 6| 9| 4|15|
| 5| 8|15|13| 1| 3|11| 4| 9| 6|12|14| 7| 2|10|16|
| 3|14|12| 9| 6|10|15| 2| 4| 7|16|13| 1| 5| 8|11|
| 6|10| 4| 2| 9| 7| 5|16|15| 8|11| 1|12| 3|13|14|
| 9|12| 5|11|13| 1| 3| 8|14|16| 7|15| 2| 4| 6|10|
|13| 1|10| 3|11| 5|12|14| 6| 2| 4| 9|15|16| 7| 8|
| 7|15| 8|14| 4|16| 2| 6|12|10| 5|11|13| 1| 3| 9|
| 2| 4| 6|16|15| 9| 7|10|13| 1| 3| 8|11|14| 5|12|
| 8|11|14| 5|10|13| 1| 3|16|15| 9| 7| 4|12| 2| 6|
|10|13| 1|12| 8|11|14| 5| 2| 4| 6| 3|16|15| 9| 7|
|15|16| 9| 7| 2| 4| 6|12| 8|11|14| 5|10|13| 1| 3|
| 4| 2| 3| 6|16|15| 9| 7|10|13| 1|12| 8|11|14| 5|
