| 9| 4| 6|23| 1|15| 3| 5|12|10|24|18|14| 2| 7|11|21|22| 8|13|20|19|16|17|25|
|20|25| 2|10|24|14|16| 1| 9|19|21| 6|11|22|23|18|17|15| 5| 4| 8| 3|13|12| 7|
|19|13| 8|22|17|25| 6| 7|23| 4| 1|12|15|20| 5|14| 3|10| 2|16| 9|24|18|11|21|
|16|12| 7|11|15|22| 2|18|13|21| 3| 4| 8|19|17|25| 1|20|24| 9|23| 6|14| 5|10|
| 5|14| 3|18|21| 8|20|24|11|17|13|25|16|10| 9|23| 6|19|12| 7|22| 1|15| 2| 4|
| 7|11| 5|19|25|16|21|15|10| 8|12|13|23|14| 4| 1|20|18| 6|24| 3|17| 2|22| 9|
|23| 9|22| 8|16| 1|14|12|24| 6| 5|17| 7| 3|11| 4|10| 2|15|19|18|25|21|20|13|
| 3| 6|12|21|20|11|18|19| 2| 7|22| 9|10|15|16|17|13| 5|14|25| 1| 8| 4|24|23|
|13|24|10| 2| 4|20|17|25| 5| 9|19|21| 1| 8|18| 3|22| 7|11|23|14|16| 6|15|12|
|15| 1|17|14|18| 3|23| 4|22|13|25|20|24| 6| 2| 9| 8|21|16|12|19| 7|11|10| 5|
| 4| 5|14|13|19| 7| 8|17| 1| 2|20|11|22|24|25|12|23|16| 3|21|15| 9|10| 6|18|
|18|16|11|20|22|21|25| 9| 3|23| 2| 5| 4|17|10|15|14| 1| 7| 6|24|13|12|19| 8|
|25| 2| 9| 6|23|19| 5|11|14|12| 8|15| 3| 7|13|24|18|17|20|10|16| 4| 1|21|22|
|24|21| 1|17| 7| 6|22|10|16|15|18|23|12| 9|14| 8|19|13| 4| 2| 5|11|25| 3|20|
|12| 8|15| 3|10|13|24|20| 4|18| 6|16|19|21| 1| 5|25| 9|22|11| 7| 2|23|14|17|
|22|15|25| 7|11| 5|12| 8|20|24| 4|10|18|23| 3| 6|16|14|19| 1|13|21|17| 9| 2|
|10| 3|19| 5|13|23| 1|21|15|11| 9|24| 6|16|22| 2| 7|12|17|18|25|20| 8| 4|14|
| 8|18|24|16|14|10| 9|22|19|25| 7| 2|17| 5|12|13|15| 4|21|20| 6|23| 3| 1|11|
| 6|23| 4|12| 9|17|13| 2| 7| 3|11|14|21| 1|20|22|24| 8|25| 5|10|15|19|18|16|
|21|17|20| 1| 2|18| 4|14| 6|16|15|19|25|13| 8|10| 9|11|23| 3|12|22| 5| 7|24|
| 2|10|16|15| 6|12| 7| 3|18|22|23| 8|20| 4|19|21|11|25| 9|14|17| 5|24|13| 1|
|14|20|21| 9| 3|24|10|13|25| 1|17|22| 5|11|15|16| 2| 6|18| 8| 4|12| 7|23|19|
| 1|22|23|24| 8| 4|11|16|17|20|14| 7|13|12|21|19| 5| 3|10|15| 2|18| 9|25| 6|
|17|19|18| 4| 5| 2|15| 6|21|14|16| 1| 9|25|24| 7|12|23|13|22|11|10|20| 8| 3|
|11| 7|13|25|12| 9|19|23| 8| 5|10| 3| 2|18| 6|20| 4|24| 1|17|21|14|22|16|15|
