|21| 5|14|17|13|16|24|12| 9| 8| 7|18|15|11|20| 4|23|25| 2|22| 1|19| 3|10| 6|
| 4|12| 1|16|22|18|15|17| 2|10| 9|14|13|25| 8| 7| 6| 3|11|19|21|20|23|24| 5|
|20| 2|19| 7|24|22| 1| 5|13| 3| 4|17|23|21| 6|10|15|14|18|16|25| 8|11|12| 9|
|18|11|23| 6|25|21|20| 7| 4|19|22|24| 5| 3|10|13| 8|12| 1| 9|17|14|16|15| 2|
|15| 3|10| 8| 9|25|23|11|14| 6| 1|12| 2|19|16|20|21|17| 5|24|13| 7|22| 4|18|
|16| 1| 6| 3|10| 2|13|15| 8|17| 5|22| 7|14|21|19|11|18| 9| 4|12|25|24|20|23|
| 9|23|20|13| 4|12|10| 3|21| 5|11|25|19|24|15| 1|16|22|14| 2| 7|17| 6|18| 8|
|11|21|17|12| 5|23| 9|19|22|24|10| 1| 3|18| 2|25|20| 8| 6| 7|16| 4|15|14|13|
|14|24| 2|22| 7| 4|16|25|11|18| 6| 8|20|23| 9|17|13|15|12|21| 3| 5|19| 1|10|
|25|19| 8|15|18| 1|14|20| 6| 7|16|13|17|12| 4|23|10|24| 3| 5| 2|11| 9|21|22|
|24| 8|12| 1|16| 5|17|18|10|22|20| 9|25|13| 3| 2| 4|23| 7|15|11| 6|21|19|14|
| 6|14|25| 4| 3| 7|12|23|16| 1|17|15|24|22|18|11| 9|21|19|13| 5| 2|10| 8|20|
|10|15|11| 9| 2|14| 3| 8|19|21|12|23| 6| 4| 7| 5|25| 1|20|17|24|22|18|13|16|
|23|18|21| 5|20| 9| 2|13|15|25|14|11|16| 8|19| 6|22|10|24| 3| 4|12| 7|17| 1|
| 7|13|22|19|17|20| 4| 6|24|11| 2|10|21| 5| 1|18|14|16| 8|12| 9|23|25| 3|15|
| 3| 9|18|20|19|24| 8|10|17|14|23| 6| 1| 2|11|21|12| 7|13|25|22|15| 5|16| 4|
|12|17|16|21|23|11| 7| 2| 5|13| 8| 3|10|15|22| 9|19|20| 4|14|18|24| 1| 6|25|
| 8| 4| 5| 2|11| 3|19|21|23| 9|24|20|18|16|25|22| 1| 6|15|10|14|13|12| 7|17|
|13|10| 7|24| 6|15|22| 1|25| 4|19|21|12| 9|14| 8|17| 5|16|18|20| 3| 2|23|11|
| 1|22|15|25|14| 6|18|16|20|12|13| 7| 4|17| 5|24| 3| 2|23|11|10|21| 8| 9|19|
| 2|16|24|10| 8|13|25|22|18|23|15| 4|14| 6|17|12| 7|11|21| 1|19| 9|20| 5| 3|
|17|25| 3|14| 1| 8|11|24|12|20|21|16| 9|10|13|15| 5|19|22|23| 6|18| 4| 2| 7|
|19|20|13|11|12|17|21| 9| 7| 2| 3| 5| 8| 1|23|16|18| 4|25| 6|15|10|14|22|24|
| 5| 7| 4|18|21|10| 6|14| 1|15|25|19|22|20|24| 3| 2| 9|17| 8|23|16|13|11|12|
|22| 6| 9|23|15|19| 5| 4| 3|16|18| 2|11| 7|12|14|24|13|10|20| 8| 1|17|25|21|
